longitude latitude
121.503983 25.044479
121.460037 25.043335
121.532822 25.017242
121.534287 25.014267
121.533446 25.015807
121.44493103027 25.170364379882997
120.31471252441 22.583084106444996
120.309219 22.60437
120.306865 22.608196
120.307777 22.606499
120.306571 22.612021
120.305958 22.611065
120.306129 22.610893
120.306473 22.615128
120.306358 22.616844
120.305099 22.619574
120.303976 22.621848
120.302902 22.627213
120.306865 22.614277
120.3050994873 22.618789672852
120.3050994873 22.621536254882997
120.302752 22.623928
120.30098 22.626572
120.301437 22.628632
120.302274 22.631385
120.301666 22.623596
120.305405 22.630895
120.310189 22.631149
120.31196594238001 22.631149291992003
120.313614 22.6306
120.31196594238001 22.629776000977
120.315811 22.629776
120.31333899999998 22.630463
120.316148 22.629963
120.318913 22.629776
120.324795 22.63198
120.32295227051 22.629776000977
120.32569885254 22.633895874023
120.326996 22.636337
120.328053 22.638702
120.327203 22.641678
120.325895 22.645078
120.325699 22.647285
120.32511 22.649002
120.323314 22.650375
120.320206 22.652607
120.32569885254 22.646255493164002
120.318832 22.653809
120.313691 22.655904
120.312725 22.658904
120.314541 22.661018
120.317165 22.65479
120.302181 22.626858
120.299149 22.632217
120.302353 22.635269
120.302353 22.637329
120.302868 22.639046
120.302525 22.641878
120.303864 22.643509
120.304334 22.644972
120.308641 22.646039
120.309219 22.648727
120.309219 22.651374
120.30876200000002 22.645405
120.309354 22.655276
121.37626647949 25.049514770507997
120.292975 22.646099
120.297109 22.646255
120.311966 22.661448
120.31268 22.663943
120.309219 22.664808
120.31474 22.664218
120.316429 22.666254
120.316086 22.664697
120.316772 22.668228
120.317459 22.6707
120.31745910645 22.672348022460998
120.317459 22.672806
120.27351379395 22.620162963867003
120.27351379395 22.621536254882997
120.28566200000002 22.630938
120.283626 22.631274
120.285068 22.633328
120.288778 22.627822
120.28450012207001 22.633895874023
120.292208 22.628536
120.295372 22.630692
120.293934 22.632403
120.293386 22.635673
120.29183700000002 22.640409
120.2954864502 22.628402709960998
120.293503 22.629471
120.291367 22.64296
120.291965 22.649178
120.29274 22.656356
120.29274 22.659164
120.29291200000002 22.66119
120.294937 22.661362
120.297546 22.661362
120.301609 22.661419
120.30097961426 22.661361694335998
